,STATE,COUNTY,NAME,TOTPOP,URB890,URB25,NEGTOT,NEG1880,NEG1870,CHITOT,CHI1880,CHI1870,JAPTOT,JAP1880,JAP1870,INDTOT,IND1880,IND1870,NBMTOT,NBFTOT,FBMTOT,FBFTOT,NBWMNP,NBWFNP,NBWMFP,NBWFFP,FBWMTOT,FBWFTOT,COLMTOT,COLFTOT,MTOT,FTOT,NBWM520,NBWF520,FBWM520,FBWF520,COLM520,COLF520,NBWM1844,FBWM1844,COLM1844,NBWM21,FBWM21,COLM21,DWELL,FAMILIES,FARM09,FARM1019,FARM2049,FARM5099,FARM100,FARM500,FARM1000,FARMSIZE,FA09OW,FA1019OW,FA2049OW,FA5099OW,FA100OW,FA500OW,FA1000OW,FA09TE,FA1019TE,FA2049TE,FA5099TE,FA100TE,FA500TE,FA1000TE,FA09SC,FA1019SC,FA2049SC,FA5099SC,FA100SC,FA500SC,FA1000SC,FARMS,ACIMP,ACUNIMP,FARMVAL,EQUIPVAL,LIVSTOCK,FARMOUT,FARMFERT,BARLEYAC,BARLEY,BUCKWHAC,BUCKWHEA,CORNAC,CORN,OATSAC,OATS,RYEAC,RYE,WHEATAC,WHEAT,MFGESTAB,MFGCAP,MFGCAPLA,MFGCAPBU,MFGCAPEQ,MFGCAPCA,MFGMISCO,MFGAVEMP,MFGWAGES,MFGMOFF,MFGMOFWA,MFGFOFF,MFGFOFWA,MFGLBM16,MFGWGM16,MFGLBF15,MFGWGF15,MFGLBCH,MFGWGCH,MFGPWM16,PWWAGM16,MFGPWF15,PWWAGF15,MFGPWCH,PWWAGCH,MFGRMS,MFGOUT,CSWMTEA,CSWFTEA,CSCOMTEA,CSCOFTEA,CSWMPUP,CSWFPUP,CSCOMPUP,CSCOFPUP,PBAFRICA,PBASIA,PBATLISL,PBAUSTRA,PBAUSTRI,PBBELG,PBBOHEM,PBCANADA,PBCENTAM,PBCHINA,PBCUBAWI,PBDENMAR,PBENGLAN,PBEURNS,PBFRANCE,PBGERMAN,PBGREECE,PBHOLLAN,PBHUNGAR,PBINDIA,PBIRELAN,PBITALY,PBJAPAN,PBLUXEMB,PBMEXICO,PBNORWAY,PBNORDEN,PBPACIFI,PBPOLAND,PBPORTUG,PBRUSSIA,PBHAWAII,PBSCOT,PBSOAMER,PBSPAIN,PBSWEDEN,PBSWITZ,PBTURKEY,PBWALES,PBSEA,PBOTHFOR,FARMFAMS,FARMOWN,FARMFREE,FARMENCU,FARMRENT,FAOWN80,FARENT80,HOMEFAMS,HOMEOWN,HOMEFREE,HOMEENCU,HOMERENT,VALTOT,VALMTG,VALFAENC,VALFAMTG,VALHOENC,VALHOMTG,INTTOT,INTFARM,INTHOME,WMTOT,WFTOT,WHTOT,REGION1,REGION2,FIPS,LEVEL
62,6,70,CHITTENDEN           ,35389,18249,0,183,208,130,8,0,0,0,0,0,8,0,0,14188,14678,3277,3246,8776,9067,5321,5517,3269,3240,99,100,17465,17924,5387,5299,432,456,34,41,5486,1410,39,6931,2785,54,6738,7430,196,136,284,470,1094,31,7,131,166,121,253,400,824,23,6,25,11,27,48,112,2,0,5,4,4,22,158,6,1,2218,185315,104270,8134950,372500,1282950,1691470,14952,1460,31586,875,12257,3576,115040,9869,291296,895,9753,417,7483,284,5713443,426925,857110,1211157,3218251,623969,3541,1472944,353,271924,31,13512,2279,957788,537,133197,149,22416,85,42173,105,31634,2,300,3784132,6542345,44,254,0,0,2924,2757,4,8,NA,NA,NA,NA,NA,NA,NA,4183,NA,NA,NA,NA,248,NA,34,254,NA,NA,NA,NA,1510,3,NA,NA,NA,NA,9,NA,NA,NA,76,NA,84,NA,NA,23,10,NA,5,NA,84,2218,1789,1032,757,429,1986,367,5212,2307,1329,978,2905,5254284,1978870,2875663,1153278,2378621,825592,116849,67889,48960,17366,17824,35190,1,1,50007,1
63,6,90,ESSEX                ,9511,0,0,7,10,3,0,0,0,0,0,0,13,5,3,3536,3129,1695,1151,2504,2203,1027,918,1689,1150,11,9,5231,4280,1323,1165,520,317,2,2,1227,1008,4,1710,1123,8,1720,1917,17,30,69,205,557,21,6,156,16,30,63,195,525,19,6,0,0,2,3,13,0,0,1,0,4,7,19,2,0,905,68558,72626,1689890,108070,424620,460520,3583,175,4580,590,16286,184,7349,2790,103621,6,68,244,5226,45,1478362,422860,133647,357445,564410,64225,902,272088,36,20013,1,500,817,243340,4,490,10,800,33,6685,1,260,0,0,838369,1377936,8,122,0,0,903,959,0,0,NA,NA,NA,NA,NA,NA,NA,1794,NA,NA,NA,NA,852,NA,1,11,NA,NA,NA,NA,134,1,NA,NA,NA,NA,14,NA,NA,NA,0,NA,20,NA,NA,14,0,NA,0,NA,5,905,784,421,363,121,695,57,1012,404,281,123,608,769796,292361,602687,238589,167109,53772,17394,14158,3236,5220,4271,9491,1,1,50009,1
64,6,110,FRANKLIN             ,29755,0,0,84,94,98,4,0,0,0,0,0,0,0,0,12454,12246,2623,2432,8367,8231,4045,3976,2618,2430,47,41,15077,14678,4658,4393,423,412,15,19,4647,1164,21,6234,2140,26,5908,6332,107,141,241,428,1449,32,3,141,92,124,206,347,1035,19,2,11,13,26,47,175,6,0,4,4,9,34,239,7,1,2401,202492,135943,8429880,400850,1372350,1940240,9531,1963,46494,433,5834,2671,102678,9761,323222,132,1831,538,11180,181,1471131,135591,254420,416000,665120,74154,1182,405185,158,73723,1,300,861,291638,58,10433,16,2050,40,17425,48,9616,0,0,1148446,1944302,35,311,0,0,3342,2912,0,0,NA,NA,NA,NA,NA,NA,NA,3984,NA,NA,NA,NA,248,NA,11,33,NA,NA,NA,NA,672,4,NA,NA,NA,NA,2,NA,NA,NA,0,NA,53,NA,NA,10,7,NA,7,NA,24,2401,1779,990,789,622,2178,403,3931,1786,1190,596,2145,4098060,1614881,2886077,1198777,1211983,416104,95706,71271,24435,15030,14637,29667,1,1,50011,1
65,6,130,GRAND ISLE           ,3843,0,0,6,12,5,0,0,0,0,0,0,0,2,6,1690,1606,286,261,1064,1012,621,593,286,261,5,1,1976,1867,650,603,38,36,4,0,602,124,1,803,241,1,776,820,30,36,75,116,202,2,0,102,21,31,59,90,143,2,0,5,2,6,10,9,0,0,4,3,10,16,50,0,0,461,38043,9207,1747750,73350,260230,298770,1042,361,6422,1025,13027,954,31509,4668,121070,91,1096,349,5864,10,9464,605,2032,2827,4000,240,10,3080,7,2172,1,208,2,700,0,0,0,0,0,0,0,0,0,0,9309,15012,7,32,0,0,571,516,0,0,NA,NA,NA,NA,NA,NA,NA,473,NA,NA,NA,NA,17,NA,5,11,NA,NA,NA,NA,27,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,12,NA,NA,1,1,NA,0,NA,0,461,331,168,163,130,383,123,359,155,121,34,204,672436,278128,626869,261021,45567,17107,16794,15768,1026,1971,1866,3837,1,1,50013,1
66,6,150,LAMOILLE             ,12831,0,0,8,6,5,0,0,0,0,0,0,0,0,5,6074,5924,452,381,5272,5175,798,745,452,381,4,4,6526,6305,1992,1900,63,48,1,2,2388,218,3,3555,382,3,2765,2936,59,84,221,428,859,16,4,119,44,72,185,368,683,15,3,4,7,17,36,74,0,0,11,5,19,24,102,1,1,1671,112515,86348,3197950,247510,632300,891590,8188,868,25211,284,6663,1292,52833,3375,134346,24,355,451,7878,142,911253,152805,93400,233040,432008,37854,899,226058,90,34781,1,300,746,177147,5,1000,0,0,57,12830,0,0,0,0,618021,1072211,34,177,0,0,1448,1355,2,1,NA,NA,NA,NA,NA,NA,NA,569,NA,NA,NA,NA,90,NA,0,14,NA,NA,NA,NA,99,23,NA,NA,NA,NA,1,NA,NA,NA,0,NA,18,NA,NA,6,1,NA,0,NA,12,1671,1338,633,705,333,1397,340,1265,624,359,265,641,1758283,629898,1410297,512329,347986,117569,37642,30587,7055,6522,6301,12823,1,1,50015,1
67,6,170,ORANGE               ,19575,0,0,15,17,13,2,0,0,0,0,0,0,0,0,9368,9107,589,511,8620,8422,739,679,587,511,11,6,9957,9618,2635,2506,93,86,5,3,3368,278,5,5902,482,6,4676,4988,96,112,270,631,1796,21,2,132,82,101,231,548,1540,20,2,11,6,18,34,94,0,0,3,5,21,49,162,1,0,2928,253651,133074,5403680,426150,1441850,1708620,24891,1348,34881,2811,62098,4488,188676,6607,213658,60,769,1162,19900,157,760092,77872,130410,218067,333743,37893,685,232648,93,42087,1,624,545,180336,17,3851,2,400,13,4150,14,1200,0,0,570634,1087763,50,288,0,0,1969,1865,0,0,NA,NA,NA,NA,NA,NA,NA,621,NA,NA,NA,NA,151,NA,8,24,NA,NA,NA,NA,149,7,NA,NA,NA,NA,2,NA,NA,NA,5,NA,84,NA,NA,20,1,NA,4,NA,24,2928,2484,1547,937,444,3068,392,2060,1057,718,339,1003,2222156,958954,1658509,707353,563647,251601,55778,41074,14704,9946,9612,19558,1,1,50017,1
68,6,190,ORLEANS              ,22101,0,0,12,23,29,0,0,0,0,0,0,1,0,0,9195,8638,2195,2073,6800,6409,2389,2224,2193,2073,8,5,11390,10711,3141,2908,456,432,3,3,3272,1045,4,5020,1682,5,4829,5119,101,131,313,683,1615,19,1,123,93,120,289,614,1410,17,1,7,8,11,45,90,0,0,1,3,13,24,115,2,0,2863,200002,153017,5731870,374530,1375060,1776680,19266,2334,65690,585,14350,975,37894,8577,321911,59,1194,1373,32284,184,1636269,222890,197355,377469,838555,56182,1142,381737,127,62472,1,400,939,297075,23,5000,10,1800,36,13178,6,1812,0,0,1007417,1709118,50,303,0,0,2476,2520,0,0,NA,NA,NA,NA,NA,NA,NA,3465,NA,NA,NA,NA,301,NA,42,7,NA,NA,NA,NA,277,0,NA,NA,NA,NA,2,NA,NA,NA,0,NA,146,NA,NA,8,4,NA,5,NA,11,2863,2434,1138,1296,429,2561,337,2256,1127,619,508,1129,3557423,1478750,2713752,1150677,843671,328073,87775,68226,19549,11382,10706,22088,1,1,50019,1
69,6,210,RUTLAND              ,45397,8239,0,182,174,182,7,0,0,1,0,0,0,2,0,19247,18864,4024,3262,13277,12993,5880,5782,4013,3262,101,89,23271,22126,6810,6495,445,372,29,42,7692,1949,51,10292,3523,64,9081,10024,132,146,302,526,1646,67,8,151,114,130,270,454,1299,49,5,16,11,20,43,121,5,3,2,5,12,29,226,13,0,2827,269451,158156,9158510,426410,1721860,1823910,17204,981,24836,670,10549,5247,233596,8337,267575,471,6252,188,3047,464,3722772,483305,667195,787140,1785132,275129,4075,1787723,438,303445,45,20098,2945,1259535,326,113406,43,6205,183,76605,85,7929,10,500,3139968,5852318,45,404,0,0,4254,4403,10,16,NA,NA,NA,NA,NA,NA,NA,2112,NA,NA,NA,NA,343,NA,34,111,NA,NA,NA,NA,2820,220,NA,NA,NA,NA,18,NA,NA,NA,33,NA,74,NA,NA,535,7,NA,920,NA,59,2827,2251,1208,1043,576,2633,460,7197,3055,1718,1337,4142,6314953,2450190,3240986,1266937,3073967,1183253,145568,75068,70500,23170,22037,45207,1,1,50021,1
70,6,230,WASHINGTON           ,29606,7763,0,26,34,29,1,0,0,0,0,0,3,0,0,13038,12664,2380,1524,10861,10618,2159,2035,2379,1524,19,11,15418,14188,3867,3799,354,280,7,5,5350,1474,7,7938,1973,12,6112,6748,108,148,313,713,1595,10,7,123,99,130,270,614,1332,8,7,8,12,34,61,149,2,0,1,6,9,38,114,0,0,2894,204321,151135,5797450,408150,1339700,1919800,24190,1253,36534,809,20123,3035,138578,6963,289167,17,191,696,14868,389,2538609,394520,331305,483829,1328955,130027,3015,1545489,348,252471,30,12436,2322,1189665,119,28338,0,0,133,43681,57,17728,6,1170,1496433,3876301,49,337,0,0,2859,2801,3,3,NA,NA,NA,NA,NA,NA,NA,1647,NA,NA,NA,NA,186,NA,10,64,NA,NA,NA,NA,898,93,NA,NA,NA,NA,9,NA,NA,NA,10,NA,904,NA,NA,33,15,NA,5,NA,30,2894,2353,1219,1134,541,2792,437,3854,1728,1091,637,2126,3563560,1546646,2264485,1041473,1299075,505173,90735,60703,30032,15399,14177,29576,1,1,50023,1
71,6,250,WINDHAM              ,26547,8559,0,103,90,50,1,0,0,0,0,0,0,0,0,12309,12194,1043,1001,11048,10970,1209,1173,1042,1001,53,51,13352,13195,3619,3378,149,137,13,17,4715,569,21,7647,883,30,5527,6462,106,119,302,548,1742,36,4,142,95,109,263,489,1546,31,4,8,9,24,32,79,2,0,3,1,15,27,117,3,0,2857,208699,196314,5363800,367600,1252440,1483400,21634,547,12150,237,4070,4020,157226,3662,113523,237,2757,42,580,331,4941041,200430,651735,1309870,2779006,402165,2754,1254332,327,189315,19,9186,1789,821286,186,57756,20,3440,331,148514,82,24835,0,0,2350052,4788320,68,344,0,0,2649,2432,7,9,NA,NA,NA,NA,NA,NA,NA,639,NA,NA,NA,NA,182,NA,3,96,NA,NA,NA,NA,877,9,NA,NA,NA,NA,6,NA,NA,NA,14,NA,57,NA,NA,108,7,NA,5,NA,41,2857,2455,1512,943,402,2831,393,3605,1541,973,568,2064,3079932,1209910,1650494,681614,1429438,528296,71549,40126,31423,13299,13144,26443,1,1,50025,1
